en	de
❗️Invalid input! Please answer only using the buttons above.	❗️Ungültige Eingabe! Bitte antworten Sie nur mit einem der oben angezeigten Knöpfe.
Choose affected facility:	Wählen Sie die betroffene Einrichtung:
Please (optionally) provide description and/or photos for this submission.	Bitte (optionale) Beschreibung und/oder Fotos für diese Meldung eingeben.
❗️Invalid input! Please choose from the options shown below.	❗Ungültige Eingabe! Bitte wählen Sie eine der unten angezeigten Optionen.
Choose affected consumables:	Betroffene Verbrauchsartikel auswählen:
✅📝 Description received. You can send more text, add photos/documents or continue to the next step.	✅📝 Beschreibung erhalten. Sie können einen weiteren Text schicken, Fotos/Dokumente hinzufügen oder weiter zum nächsten Schritt.
❗️Invalid input! Please only enter a text message.	❗️Ungültige Eingabe! Bitte nur Text schicken.  
✅📷 Photo received. You can send more attachments, add a description or continue to the next step.	✅📷 Foto erhalten. Sie können weitere Anhänge schicken, eine Beschreibung hinzufügen, oder weiter zum nächsten Schritt.
✅📄 Document received. You can send more attachments, add a description or continue to the next step.	✅📄 Dokument erhalten. Sie können weitere Anhänge schicken, eine Beschreibung hinzufügen, oder weiter zum nächsten Schritt.
❗🎙 Voice messages are not yet supported. You can send photos/documents, add a description or continue to the next step.	❗🎙 Audionachrichten werden noch nicht unterstützt. Sie können Fotos/Dokumente schicken, eine Beschreibung hinzufügen, oder weiter zum nächsten Schritt.
General/Misc	Allgemein/Sonstiges
Continue ➡️	Weiter ➡️
Please review all details before submitting.	Bitte vor Absenden der Meldung alle Details prüfen.
❗ General	❗ Sonstiges
<b>Affected facility:</b> 	<b>Betroffene Einrichtung:</b> 
<b>Description:</b> 	<b>Beschreibung:</b> 
<b># Attachments:</b> 	<b>Anhänge:</b> 
<b>Reported by:</b> {0} 	<b>Gemeldet von:</b> {0} 
<b>Created:</b> {0}	<b>Erstellt:</b> {0}
<b>Currently handled by:</b> 	<b>Aktuell bearbeitet von:</b> 
in their role as 	in der Rolle 
<b>Current status:</b> 	<b>Aktueller Status:</b> 
<b>Affected consumables:</b> 	<b>Betroffene Verbrauchsartikel:</b> 
✏️ Drafting	✏️ Entwurf
📤️ Reported	📤️ Gemeldet
⏳ In Progress	⏳ In Bearbeitung
📋 Review Required	📋 Revision Erforderlich
❌ Review Not Passed	❌ Revision Nicht Bestanden
✅ Submission succeeded!	✅ Meldung erfolgt!
New submission:	Neue Meldung:
<b>Trade:</b> 	<b>Gewerk:</b> 
<b>Submission type:</b> 	<b>Meldungstyp:</b> 
Are you sure you want to cancel drafting this new submission?	Möchten Sie sicher das Erstellen dieser neuen Meldung abbrechen?
Cancelled.	Abgebrochen.
📎 View Attachments	📎 Anhänge anschauen
Enter {0} to begin.	Bitte mit {0} anfangen.
📋 Cleaning Assessment	📋 Reinigungsbewertung
<b>Assessment Rating:</b> 	<b>Bewertungsergebnis:</b> 
Provide rating:	Bewertung angeben:
A general system error has occurred. Contact tech support.	Ein allgemeiner Systemfehler ist aufgetreten. Bitte den technischen Support kontaktieren.
